  7UP,2870
  Acer,9203
  Acne,4555
  Adidas,3490
  After Eight,2489
  American Apparel,4142
  Amstel,6503
  Apple,9140
  Armani,3198
  Asics,3496
  Asos,3698
  ASUS,9204
  Australian,2467
  Balisto,2547
  Beck's,3406
  bellybutton,4291
  Benetton,5082
  Bergans,3123
  Berghaus,3744
  Betty Barclay,4039
  Bikkembergs,3192
  Billabong,3143
  Bing,2992
  Birkenstock,2896
  Björn Borg,3176
  Black Milk Clothing,8673
  BlackBerry,9202
  Bogner,3188
  Bon'A Parte,4046
  Bonita Banana,2555
  Bounty,2548
  Brax,4042
  Brooks,6830
  Bros,2492
  Brunotti,3147
  Bugatti - Shoes,2894
  Burberry,3366
  Burton,3135
  Cakewalk,4285
  Calvin Klein,12255
  Camper,2967
  Carhartt,6845
  Champion,3494
  Chantelle,3160
  Cheap Monday,3048
  Chiquita,2549
  Chloé,3359
  Cinque,10445
  Claire,4622
  Clarks,2897
  Club Mate,3096
  Coast,4349
  Coca-Cola,2866
  Columbia,3745
  Continental Clothing,4413
  Converse,3078
  COS,4542
  Crocs,2963
  Cruyff Sports,3760
  D.E.P.T.,4131
  Daniel Hechter,4362
  DC Shoes,11986
  Deichmann,10647
  Del Monte,2551
  Dell,9191
  Deuter,7413
  Diadora,3503
  Dickies,4106
  Diesel,3040
  Dior,3209
  DKNY,3360
  DKODE,3756
  Dolce & Gabbana,3204
  Dole,2554
  Douwe Egberts,2508
  Dove,2448
  Dr Pepper,3106
  Dr. Martens,2912
  Dropbox,5755
  eBay,2996
  ECCO,2904
  Ed Hardy,4044
  El Naturalista,3570
  Ellesse,4935
  Energie,4031
  engelbert strauss,3818
  Esprit,3696
  Ethletic,3094
  Etnies,11987
  Euro Shopper,2610
  Evisu,3028
  Expedia,3964
  Facebook,3001
  Fairphone,9129
  Falke,3158
  Fanta,2868
  Ferrero Rocher,2458
  Fila,3500
  Fjällräven,3127
  Flickr,3009
  Fornarina,4079
  Fred Perry,4081
  Freitag,4417
  French Connection,4141
  Freya,3170
  Friis,3754
  Fruit of the Loom,6633
  Fyffes,2552
  G-Star,3041
  Gaastra,4618
  Gabor,2960
  Gant,4310
  Gap,3694
  Geox,2885
  Globe,3740
  Gmail,2989
  Google,5772
  Google Plus,5771
  Gravis,3758
  Gsus,3029
  Gucci,3369
  Guess,3030
  Guinness,3407
  GURU,4074
  H&M,3712
  Hanwag,5084
  Havaianas,2947
  Heineken,3240
  Helly Hansen,3493
  Hermès,3365
  Hi-Tec,3759
  Hollister,3433
  Hom,3171
  Houdini,3688
  HP,9193
  HTC,9216
  Huawei,9228
  Hub Footwear,2952
  Hugo Boss,4311
  hummel,3501
  Icebreaker,3129
  IKKS,4273
  illycaffè,2511
  Imps&Elfs,4248
  InWear,4348
  Isabel Marant,3187
  J.Crew,5028
  Jack & Jones,11885
  Jack Wolfskin,3739
  Jockey,3157
  Kalenji,12379
  KangaROOS,4936
  Kappa,3499
  Keen,3092
  Keep,3757
  Kenzo,3364
  Kickers,2893
  KIK-KID,4290
  Kilroy Travels,3970
  Kinder,2557
  King Louie,4134
  Kitkat,2486
  Knowledge Cotton Apparel,4975
  Komodo,4414
  Kuyichi,3043
  La Perla,3159
  Lacoste,4313
  Lafuma,3124
  Lands' End,5038
  Laura Ashley,5041
  Lavazza,2514
  Le Coq Sportif,3945
  Lee,3049
  Lenovo,9205
  Leonidas,2476
  Levi's,3050
  LG,9209
  Lidl,1818
  Lindt,3678
  LinkedIn,3002
  Lion,2490
  Löffler,10446
  Lonsdale,3506
  Louboutin,3191
  Louis Vuitton,3363
  M&M's,2449
  Maltesers,2450
  mama-licious,4396
  Mammut,3743
  Mango,3703
  Marc Jacobs,3361
  Marc O'Polo,4307
  Marie Jo,3169
  Marimekko,12474
  Marlies Dekkers,3165
  Mars,2451
  Matinique,4343
  Max Mara,12490
  McGregor,4305
  Meindl,3091
  Meltin' Pot,3037
  Merci,3625
  Michael Kors,4359
  Microsoft,9210
  Milka,2481
  Milky Way,2452
  Millet,3125
  Mim-pi,4289
  Miss Sixty,4049
  Mon Chéri,2460
  Monki,5095
  Monsoon,3699
  Motorola,9190
  Mud Jeans,3044
  Myspace,3010
  Name It,4247
  Nautica,4138
  Nescafé,2518
  Nespresso,2519
  Nesquik,2483
  Nestlé Crunch,2485
  Nestlé Hot Chocolate Mix,2558
  New Balance,3495
  New Yorker,6850
  Next,3718
  Nike,3489
  Nintendo,9211
  Noa Noa,5094
  Nokia,9189
  Nolita,4078
  Nomad,3134
  Noppies,4250
  Norrøna,3278
  Nudie Jeans,3051
  Nutella,2461
  Nuts,2491
  O'Neill,3149
  Oakley,3128
  Object,4397
  ONLY,3052
  Orangina,2877
  Outlook.com,2993
  Oxbow,3145
  Palladium,3077
  Pantofola d’Oro,2945
  Pants to Poverty,3478
  Part Two,5096
  Patagonia,3131
  Paul Smith,4358
  Peak Performance,3132
  People Tree,4399
  Pepe Jeans,3045
  Pepsi,2869
  Philips,9212
  Pieces,3692
  Pikolinos,11252
  Pinterest,5757
  Prada,3196
  Prima Donna,3167
  Protest,3150
  Puma,3488
  Punica,3099
  Quality Street,2487
  Quiksilver,3144
  Ralph Lauren,4308
  Red Bull,3097
  Reebok,3491
  Reef,3140
  Replay,3046
  Rhino Surf,3146
  Rip Curl,3141
  Ritter Sport,2497
  Rock Star Baby,4293
  Rolo,2556
  Roxy,3148
  Saint Laurent,3367
  Salomon,3746
  Samsung,9213
  Sandwich,4127
  Saucony,3498
  Schweppes,2876
  Segafredo,2523
  Shoestring,695
  Skunkfunk,5027
  Skype,3004
  Sloggi,3172
  Smarties,2488
  Snickers,2453
  Sony,9214
  Sorel,3082
  Speedo,3142
  Sprite,2867
  Starbucks,2527
  State of Art,4344
  Stella McCartney,5902
  Stone Island,4080
  Summum,4029
  Supertrash,4045
  Tamaris,2966
  Tele2,3382
  Teva,3083
  The North Face,3742
  Think! Shoes,11251
  Tiger of Sweden,10689
  Timberland,2889
  Toblerone,2499
  Tommy Hilfiger,4306
  Toms,11253
  Toshiba,9192
  Triumph,3168
  Turnover,4135
  Twinlife,4077
  Twitter,3003
  Twix,2454
  Ugg Australia,2905
  Uhlsport,3502
  Ulla Popken,12159
  Umbro,3492
  Vagabond,12404
  Van Gils,4342
  Vans,3080
  Vaude,3130
  Veja,2888
  Vera Mont,4361
  Vero Moda,3693
  Victoria's Secret,3161
  Vila,3715
  Vimeo,5756
  Vingino,3035
  Vive Maria,4734
  Vivienne Westwood,3203
  Volcom,11900
  Wikipedia,3005
  Wrangler,3053
  Yahoo!,3007
  Yellow Cab,2959
  YouTube,2991
  Zara,3716
  ZTE,9217
